
ATCL_id,Archive,id,Type
B2,BL,ark:/81055/vdc_0000000485A6,pages
B2,BL,ark:/81055/vdc_0000000485AC,pages
B2,BL,ark:/81055/vdc_0000000485B8,pages
B4,BL,ark:/81055/vdc_00000004A154,pages
B4,BL,ark:/81055/vdc_00000004A15A,pages
B4,BL,ark:/81055/vdc_00000004A160,pages
B4,GB,vxECAAAAQAAJ,pages
B4,GB,1RECAAAAQAAJ,pages
B4,GB,6BECAAAAQAAJ,pages
B5,ht,hvd.hn1pit,pages
B6,GB,itgBAAAAQAAJ ,pages
B7,BL,ark:/81055/vdc_000000049FDA,pages
B7,BL,ark:/81055/vdc_000000049FE0,pages
B7,BL,ark:/81055/vdc_000000049FE6,pages
B7,ht,nyp.33433075812325,pages
B7,ht,njp.32101073045286,pages
B7,gut,44375,transcr
B8,BL,ark:/81055/vdc_000000048F36,pages
B8,BL,ark:/81055/vdc_000000048F3C,pages
B8,BL,ark:/81055/vdc_000000048F42,pages
B8,ht,uc1.$b248228,pages
B8,ht,uc2.ark:/13960/t5s75b83s,pages
B8,ht,osu.32435029496056,pages
B8,ht,osu.32435029496049,pages
B8,ht,osu.32435029496031,pages
B8,ht,uc2.ark:/13960/t9m32r85r,pages
B8,ht,emu.010002713909,pages
B8,ht,emu.010002406879,pages
B8,gut,54484,transcr
B9,BL,ark:/81055/vdc_00000003B5F2,pages
B9,BL,ark:/81055/vdc_00000003B5F8,pages
B9,BL,ark:/81055/vdc_00000003BDC0,pages
B9,ht,uiug.30112003542021,pages
B9,ht,nyp.33433112043074,pages
B9,ht,uc1.aa0013971221,pages
B9,gut,49681,transcr
B10,BL,ark:/81055/vdc_000000041466,pages
B10,BL,ark:/81055/vdc_00000004146C,pages
B10,BL,ark:/81055/vdc_000000041472,pages
B10,ht,uiuo.ark:/13960/t5n87h69q,pages
B10,ht,uiuo.ark:/13960/t0dv1sk2m,pages
B10,ht,uiuo.ark:/13960/t02z1gm85,pages
B10,ia,hilarystivesnove01ains,pages
B10,ia,hilarystivesnove02ains,pages
B10,ia,hilarystivesnove03ains,pages
B11,BL,ark:/81055/vdc_00000003BD8A,pages
B11,BL,ark:/81055/vdc_00000003BD90,pages
B11,BL,ark:/81055/vdc_00000003C6A2,pages
B11,ht,nyp.33433074919436,pages
B11,ht,nyp.33433074919444,pages
B11,ht,nyp.33433074919451,pages
B12,BL,ark:/81055/vdc_00000003CB1C,pages
B12,BL,ark:/81055/vdc_00000003ED7E,pages
B12,BL,ark:/81055/vdc_00000003ED84,pages
B12,ht,uc1.$b248236,pages
B12,ht,umn.31951002300378r,pages
B12,ht,uc2.ark:/13960/t6zw1ch0r,pages
B13,BL,ark:/81055/vdc_00000003D5B4,pages
B13,BL,ark:/81055/vdc_00000003D5BA,pages
B13,BL,ark:/81055/vdc_000000040A10,pages
B13,ht,uc2.ark:/13960/t2r49js8r,pages
B13,ht,uc1.$b248274,pages
B13,ht,uc1.31970033858249,pages
B13,ht,uc1.31970033858256,pages
B13,ht,uc1.31970033858264,pages
B14,BL,ark:/81055/vdc_00000004AB1A,pages
B14,BL,ark:/81055/vdc_00000004AB20,pages
B14,BL,ark:/81055/vdc_00000004AB26,pages
B14,ht,uiuo.ark:/13960/t78s50349,pages
B14,ht,uiuo.ark:/13960/t9x06bv3q,pages
B14,ht,uiuo.ark:/13960/t9w099z3g,pages
B14,ht,wu.89105669683,pages
B14,ht,wu.89105669709,pages
B14,ia,spanishmatchorch03ains,pages
B14,ia,spanishmatchorch02ains,pages
B14,ia,spanishmatchorch01ains,pages
B14,GB,wOABAAAAQAAJ,pages
B14,GB,3eABAAAAQAAJ,pages
B14,GB,6-ABAAAAQAAJ,pages
B19,GB,TfoBAAAAQAAJ ,pages
B20,ht,uiuo.ark:/13960/t1cj8wg02,pages
B20,ht,uiuo.ark:/13960/t9t15gt7w,pages
B20,ht,uiuo.ark:/13960/t6d22dr2d,pages
B20,ia,anneseverin03crav,pages
B20,ia,anneseverin02crav,pages
B20,ia,anneseverin01crav,pages
B21,ht,uiug.30112049086876,pages
B21,ht,uiug.30112049086884,pages
B22,GB,M-8BAAAAQAAJ ,pages
B23,BL,ark:/81055/vdc_00000003CAF2,pages
B23,BL,ark:/81055/vdc_00000003D338,pages
B23,BL,ark:/81055/vdc_00000003D33E,pages
B24,BL,ark:/81055/vdc_000000043500,pages
B24,BL,ark:/81055/vdc_000000043506,pages
B24,BL,ark:/81055/vdc_00000004350C,pages
B24,ht,uiuo.ark:/13960/t1pg1zn8f,pages
B24,ht,uiuo.ark:/13960/t09w0qz2r,pages
B24,ht,uiuo.ark:/13960/t1cj8pm7r,pages
B24,GB,VtEBAAAAQAAJ,pages
B24,GB,bNEBAAAAQAAJ,pages
B24,GB,fNEBAAAAQAAJ,pages
B25,ht,uiuo.ark:/13960/t7wm1jd68,pages
B25,ht,uiuo.ark:/13960/t9j39193k,pages
B25,ht,uiuo.ark:/13960/t72v2t052,pages
B25,ia,piratesofthefoam02arms,pages
B25,ia,piratesofthefoam03arms,pages
B25,ia,piratesofthefoam01arms,pages
B25,GB,GgoCAAAAQAAJ,pages
